_id,Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1,1,156350,2015-01-05T09:31:10,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Negociere,Pretul cel mai scazut,61112,EUR,Offline,NU,NU,50532300-6,Servicii de reparare si de intretinere a generatoarelor (Rev.2)
2,2,156370,2015-01-05T09:46:44,MULTI-TRANS SA,RO555397,Covasna,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1150000,RON,Offline,NU,NU,09134220-5,Motorina (EN 590) (Rev.2)
3,3,156374,2015-01-05T11:45:26,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU PROTECTIA MEDIULUI,27282590.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,410000,RON,Offline,NU,DA,38433000-9,Spectrometre (Rev.2)
4,4,156382,2015-01-05T11:48:48,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,3090385,RON,Offline,NU,DA,45221000-2,"Lucrari de constructii de poduri si tuneluri, puturi si pasaje subterane (Rev.2)"
5,5,156383,2015-01-05T13:52:48,Directia Generala de Asistenta Sociala si Protectia Copilului Sector 2,17093691.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,380859.98999999999068677425384521484375,RON,Offline,NU,NU,15411200-4,Ulei pentru gatit (Rev.2)
6,6,156386,2015-01-05T14:07:15,MUNICIPIUL BRAILA,4205670.0,Braila,Lucrari,NU,Negociere,Pretul cel mai scazut,4646408.1600000001490116119384765625,RON,Offline,NU,DA,45212314-0,Lucrari de constructii de monumente istorice sau memoriale (Rev.2)
7,7,156384,2015-01-06T01:30:01,Serviciul de Ambulanta Judetean Bihor,7551740.0,Bihor,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,9600000,RON,Offline,DA,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
8,8,156391,2015-01-06T01:30:01,JUDETUL MARAMURES (CONSILIUL JUDETEAN MARAMURES),3627315.0,Maramures,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,6295480.030000000260770320892333984375,RON,Offline,DA,DA,43211000-5,Buldozere (Rev.2)
9,9,156352,2015-01-06T01:30:01,SPITALUL CLINIC JUDETEAN DE URGENTA SF.SPIRIDON IASI,4701312.0,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,908292,RON,Offline,DA,NU,33141110-4,Pansamente (Rev.2)
10,10,156397,2015-01-06T01:30:01,JUDETUL VASLUI,3394171.0,Vaslui,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,7469841.75999999977648258209228515625,RON,Offline,DA,DA,45232150-8,Lucrari pentru conducte de alimentare cu apa (Rev.2)
11,11,156371,2015-01-06T01:30:01,UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI,4701606.0,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,3150860,RON,Offline,DA,DA,38425000-0,Echipament pentru mecanica fluidelor (Rev.2)
12,12,156389,2015-01-06T01:30:01,UNIVERSITATEA CRAIOVA,4553380.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1362912,RON,Offline,DA,DA,31710000-6,Echipament electronic (Rev.2)
13,13,156388,2015-01-06T01:30:01,UNIVERSITATEA CRAIOVA,4553380.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,719354,RON,Offline,DA,DA,38432000-2,Aparate de analiza (Rev.2)
14,14,156364,2015-01-06T01:30:01,"ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA ,,SITUATII DE URGENTA SUD MUNTENIA""",26187310.0,Teleorman,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,5099790,RON,Offline,DA,DA,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
15,15,156360,2015-01-06T01:30:01,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,8674400,RON,Offline,DA,NU,44111210-6,Ciment de foraj (Rev.2)
16,16,156390,2015-01-06T01:30:01,JUDETUL MARAMURES (CONSILIUL JUDETEAN MARAMURES),3627315.0,Maramures,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,63528413.20000000298023223876953125,RON,Offline,DA,DA,45222110-3,Lucrari de constructii de rampe de deseuri (Rev.2)
17,17,156387,2015-01-06T01:30:01,UNIVERSITATEA CRAIOVA,4553380.0,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,678683,RON,Offline,DA,DA,48461000-7,Pachete software analitice sau stiintifice (Rev.2)
18,18,156381,2015-01-06T01:30:01,"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951.0,Botosani,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2774930,RON,Online,DA,NU,33183300-9,Aparate de osteosinteza (Rev.2)
19,19,156372,2015-01-06T01:30:01,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,3063159.879999999888241291046142578125,RON,Offline,DA,DA,34114200-1,Masini de politie (Rev.2)
20,20,156377,2015-01-06T01:30:01,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,669845,RON,Offline,DA,DA,42500000-1,Echipamente de racire si de ventilare (Rev.2)
21,21,156355,2015-01-06T01:30:01,Compania Judeteana Apa Serv S.A. Neamt,RO15346437,Neamt,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,77175000,RON,Offline,DA,DA,71541000-2,Servicii de gestionare a proiectelor de constructii (Rev.2)
22,22,156402,2015-01-06T01:30:01,AGENTIA NATIONALA PENTRU EGALITATEA DE SANSE INTRE FEMEI SI BARBATI,33160563.0,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,7258064.5199999995529651641845703125,RON,Offline,DA,DA,79411000-8,Servicii generale de consultanta in management (Rev.2)
23,23,156357,2015-01-06T11:40:38,Institutul Oncologic Prof. Dr. I. Chiricuta Cluj-Napoca,4547125.0,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,91200,RON,Offline,NU,NU,24455000-8,Dezinfectanti (Rev.2)
24,24,156363,2015-01-06T11:41:27,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,3611226.299999999813735485076904296875,RON,Offline,NU,NU,45255500-4,Lucrari de foraj si de explorare (Rev.2)
25,25,156366,2015-01-06T11:42:01,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,850000,RON,Offline,NU,NU,50531300-9,Servicii de reparare si de intretinere a compresoarelor (Rev.2)
26,26,156367,2015-01-06T11:42:31,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,668338,RON,Offline,NU,NU,60180000-3,Inchiriere de vehicule de transport de marfuri cu sofer (Rev.2)
27,27,156368,2015-01-06T11:43:06,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,84224,RON,Offline,NU,NU,71335000-5,Studii tehnice (Rev.2)
28,28,156369,2015-01-06T11:43:45,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,786600,RON,Offline,NU,NU,09122100-1,Propan (Rev.2)
29,29,156373,2015-01-06T11:44:30,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,605955.140000000013969838619232177734375,RON,Offline,NU,NU,45231400-9,Lucrari de constructii de linii electrice (Rev.2)
30,30,156375,2015-01-06T11:49:38,C.N.POSTA ROMANA S.A.,RO 427410,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,353338.2000000000116415321826934814453125,RON,Offline,NU,NU,30197643-5,Hartie pentru fotocopiatoare (Rev.2)
31,31,156378,2015-01-06T11:52:16,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,35000,RON,Offline,NU,NU,30125100-2,Cartuse de toner (Rev.2)
32,32,156380,2015-01-06T11:53:34,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,45253,RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
33,33,156396,2015-01-06T12:47:19,Institutul de Cercetari si Amenajari Silvice - Bucuresti,RO 2607964,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,200850,RON,Online,NU,NU,34110000-1,Autoturisme (Rev.2)
34,34,156416,2015-01-07T01:30:01,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,2745000,RON,Offline,DA,DA,35125000-6,Sisteme de supraveghere (Rev.2)
35,35,156393,2015-01-07T01:30:01,DIRECTIA GENERALA LOGISTICA,4267060.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2662385,RON,Offline,DA,NU,15111100-0,Carne de vita (Rev.2)
36,36,156376,2015-01-07T01:30:01,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,74565476.1500000059604644775390625,RON,Offline,DA,NU,45255400-3,Lucrari de montaj (Rev.2)
37,37,156356,2015-01-07T01:30:01,SPITAL CLINIC JUDETEAN DE URGENTA ORADEA,4208498.0,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,2962650,RON,Offline,DA,NU,24455000-8,Dezinfectanti (Rev.2)
38,38,156422,2015-01-07T01:30:01,Institutul de Boli Cardiovasculare Prof. Dr. I. M. Georgescu,RO8615184,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1310401,RON,Online,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
39,39,156392,2015-01-07T01:30:01,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,5338402.9100000001490116119384765625,RON,Offline,DA,NU,43620000-5,Piese pentru utilaje de prelucrare a mineralelor (Rev.2)
40,40,156379,2015-01-07T01:30:01,OMV PETROM S.A,RO 1590082,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,134977931.2199999988079071044921875,RON,Offline,DA,NU,90715100-3,Servicii de investigatii in domeniul poluarii chimice si petroliere (Rev.2)
41,41,156433,2015-01-07T01:30:01,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,3555000,RON,Offline,DA,DA,34932000-9,Sisteme radar (Rev.2)
42,42,156403,2015-01-07T01:30:01,CENTRU DE ONCOLOGIE DROBETA TURNU SEVERIN,29015247.0,Mehedinti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,825739.19999999995343387126922607421875,RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
43,43,156358,2015-01-07T01:30:01,SPITALUL MUNICIPAL CARACAL,4395086.0,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,990791.959999999962747097015380859375,RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
44,44,156394,2015-01-07T01:30:01,R.A. ROMATSA - ADMINISTRATIA ROMANA A SERVICIILOR DE TRAFIC AERIAN,R 1589932,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1840000,EUR,Offline,DA,NU,32344110-0,Sistem de inregistrare vocala (Rev.2)
45,45,156395,2015-01-07T01:30:01,DIRECTIA GENERALA LOGISTICA,4267060.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,1709565,RON,Offline,DA,NU,15131700-2,Preparate pe baza de carne (Rev.2)
46,46,156400,2015-01-07T01:30:01,MUNICIPIUL RAMNICU VALCEA,2540813.0,Valcea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,849750,RON,Online,DA,NU,30210000-4,Masini de procesare a datelor (hardware) (Rev.2)
47,47,156365,2015-01-07T01:30:01,"Spitalul Universitar de Urgenta Militar Central ""Dr. Carol Davila""",4364594.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,5120800,RON,Offline,DA,NU,33141420-0,Manusi chirurgicale (Rev.2)
48,48,156401,2015-01-07T01:30:01,"Spitalul Clinic de Urgenta pentru Copii ""Grigore Alexandrescu""",4284134.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,137260000,RON,Offline,DA,NU,33111000-1,Aparate de radiologie (Rev.2)
49,49,156435,2015-01-07T08:43:48,APASERV SATU MARE S.A.,RO16844952,Satu Mare,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,1794000,RON,Online,NU,DA,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
50,50,156413,2015-01-07T12:42:30,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237.0,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,258064.51999999998952262103557586669921875,RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
51,51,156430,2015-01-07T13:22:57,SPITALUL CLINIC JUDETEAN MURES,24014380.0,Mures,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,244872,RON,Offline,NU,NU,50421000-2,Servicii de reparare si de intretinere a echipamentului medical (Rev.2)
