Judet,Valoare Estimata
Hunedoara,595385281.9
Covasna,34707460.18000001
Bucuresti,26798709077.950016
Braila,231195170.88
Bihor,861446383.3499998
Maramures,663312891.2199999
Iasi,1058307768.9900002
Vaslui,274487027.86
Dolj,1610145850.6599996
Teleorman,220764725.13000003
Sibiu,1187351327.9499998
Botosani,181409392.83000004
Neamt,175518066.69000003
Cluj,1593315757.6100001
Mehedinti,227331423.33
Gorj,1090792376.050001
Ilfov,480084091.46999997
Olt,219533490.44000006
Valcea,618799121.0600001
Satu Mare,677308650.3000001
Mures,1501968810.98
Prahova,641776762.0
Suceava,313445272.0
Arges,226141847.61999997
Calarasi,121359911.44000003
Brasov,275518283.42999995
Tulcea,188471674.55999997
Galati,407157591.5599999
Constanta,865039126.47
Arad,464561617.1499999
Bacau,423612210.99999994
Caras-Severin,121507002.38
Timis,959023731.3299998
Vrancea,181641414.22000003
Dambovita,200958938.04999998
Ialomita,134665994.55
Bistrita-Nasaud,287996377.48
Buzau,277190152.3
Harghita,104993442.19000003
Giurgiu,26651660.3
Alba,68511857.3
Salaj,36189138.940000005
