Judet,Valoare Estimata
Hunedoara,598767805.0992001
Covasna,34707460.18000001
Bucuresti,28274950007.470974
Braila,231660062.88
Bihor,863164596.9858179
Maramures,664909020.42
Iasi,1061533719.5853984
Vaslui,274487027.86
Dolj,1610145850.6599996
Teleorman,220764725.13000003
Sibiu,1213424559.4499
Botosani,181409392.83000004
Neamt,179926792.49000004
Cluj,1613596380.5525
Mehedinti,227331423.33
Gorj,1090792376.050001
Ilfov,775634002.6159941
Olt,219533490.44000006
Valcea,619583203.374503
Satu Mare,677308650.3000001
Mures,1503866030.0407062
Prahova,669974234.1620091
Suceava,314178226.732055
Arges,229598319.64
Calarasi,121359911.44000003
Brasov,275518283.42999995
Tulcea,188471674.55999997
Galati,411651547.5599998
Constanta,869542101.3748
Arad,641354055.3914
Bacau,423612210.99999994
Caras-Severin,121507002.38
Timis,966558855.8299998
Vrancea,182358122.72000003
Dambovita,200958938.04999998
Ialomita,134665994.55
Bistrita-Nasaud,287996377.48
Buzau,277665321.434998
Harghita,105245258.69000003
Giurgiu,26651660.3
Alba,68511857.3
Salaj,36189138.940000005
